time,open,high,low,close,volume,spread
2021-11-29 00:00:00+00:00,23.312,23.429,23.19,23.408,2548,16
2021-11-29 04:00:00+00:00,23.407,23.408,23.323,23.356,2237,19
2021-11-29 08:00:00+00:00,23.348,23.372,23.213,23.221,2770,19
2021-11-29 12:00:00+00:00,23.221,23.264,22.913,22.925,4702,17
2021-11-29 16:00:00+00:00,22.928,22.95,22.744,22.781,2947,15
2021-11-29 20:00:00+00:00,22.782,22.936,22.782,22.929,1280,15
2021-11-30 00:00:00+00:00,22.927,22.979,22.811,22.921,1970,17
2021-11-30 04:00:00+00:00,22.92,22.959,22.755,22.893,2698,20
2021-11-30 08:00:00+00:00,22.892,22.956,22.766,22.797,3088,19
2021-11-30 12:00:00+00:00,22.802,23.298,22.747,22.819,5468,18
2021-11-30 16:00:00+00:00,22.825,22.89,22.682,22.836,4755,19
2021-11-30 20:00:00+00:00,22.841,22.865,22.758,22.791,1625,19
2021-12-01 00:00:00+00:00,22.792,22.886,22.624,22.828,2666,19
2021-12-01 04:00:00+00:00,22.829,23.019,22.817,22.931,2683,16
2021-12-01 08:00:00+00:00,22.929,22.929,22.726,22.846,2876,17
2021-12-01 12:00:00+00:00,22.841,22.934,22.6,22.629,5113,18
2021-12-01 16:00:00+00:00,22.632,22.653,22.262,22.308,4153,16
2021-12-01 20:00:00+00:00,22.314,22.377,22.175,22.368,1800,16
2021-12-02 00:00:00+00:00,22.369,22.478,22.329,22.393,2305,18
2021-12-02 04:00:00+00:00,22.393,22.456,22.326,22.346,2006,19
2021-12-02 08:00:00+00:00,22.343,22.398,22.259,22.383,2572,16
2021-12-02 12:00:00+00:00,22.383,22.493,22.204,22.319,5117,19
2021-12-02 16:00:00+00:00,22.323,22.395,22.278,22.369,2936,17
2021-12-02 20:00:00+00:00,22.37,22.439,22.361,22.374,1260,15
2021-12-03 00:00:00+00:00,22.372,22.411,22.319,22.392,2220,16
2021-12-03 04:00:00+00:00,22.391,22.508,22.332,22.36,2073,19
2021-12-03 08:00:00+00:00,22.352,22.367,22.273,22.32,2249,18
2021-12-03 12:00:00+00:00,22.321,22.574,22.027,22.137,5683,18
2021-12-03 16:00:00+00:00,22.134,22.543,22.113,22.498,3174,19
2021-12-03 20:00:00+00:00,22.495,22.545,22.485,22.534,897,19
2021-12-06 00:00:00+00:00,22.572,22.591,22.479,22.506,2354,19
2021-12-06 04:00:00+00:00,22.505,22.511,22.368,22.374,2085,17
2021-12-06 08:00:00+00:00,22.366,22.39,22.287,22.337,2513,17
2021-12-06 12:00:00+00:00,22.342,22.374,22.114,22.231,3876,18
2021-12-06 16:00:00+00:00,22.232,22.345,22.215,22.293,1938,14
2021-12-06 20:00:00+00:00,22.292,22.418,22.289,22.382,1105,13
2021-12-07 00:00:00+00:00,22.382,22.388,22.263,22.277,1909,19
2021-12-07 04:00:00+00:00,22.277,22.464,22.271,22.416,1886,19
2021-12-07 08:00:00+00:00,22.42,22.437,22.325,22.407,2066,19
2021-12-07 12:00:00+00:00,22.411,22.459,22.221,22.422,3736,18
2021-12-07 16:00:00+00:00,22.42,22.591,22.417,22.509,1939,17
2021-12-07 20:00:00+00:00,22.514,22.534,22.48,22.502,888,18
2021-12-08 00:00:00+00:00,22.504,22.553,22.458,22.492,2014,19
2021-12-08 04:00:00+00:00,22.492,22.54,22.403,22.476,1628,18
2021-12-08 08:00:00+00:00,22.467,22.475,22.327,22.411,2432,15
2021-12-08 12:00:00+00:00,22.41,22.455,22.296,22.384,3764,17
2021-12-08 16:00:00+00:00,22.387,22.471,22.359,22.452,1842,15
2021-12-08 20:00:00+00:00,22.454,22.475,22.4,22.441,890,18
2021-12-09 00:00:00+00:00,22.44,22.453,22.324,22.399,1802,19
2021-12-09 04:00:00+00:00,22.4,22.463,22.288,22.339,1932,19
2021-12-09 08:00:00+00:00,22.339,22.349,22.234,22.234,2273,15
2021-12-09 12:00:00+00:00,22.226,22.247,21.854,22.018,4721,17
2021-12-09 16:00:00+00:00,22.023,22.08,21.956,21.968,2079,17
2021-12-09 20:00:00+00:00,21.97,21.984,21.936,21.978,835,18
2021-12-10 00:00:00+00:00,21.975,22.026,21.941,22.008,1781,19
2021-12-10 04:00:00+00:00,22.004,22.008,21.817,21.845,1969,18
2021-12-10 08:00:00+00:00,21.844,21.906,21.818,21.89,1596,19
2021-12-10 12:00:00+00:00,21.885,22.218,21.85,22.129,4075,17
2021-12-10 16:00:00+00:00,22.132,22.185,22.119,22.164,1690,17
2021-12-10 20:00:00+00:00,22.172,22.18,22.149,22.18,419,16
2021-12-13 00:00:00+00:00,22.213,22.317,22.176,22.242,2127,19
2021-12-13 04:00:00+00:00,22.245,22.27,22.194,22.232,1545,16
2021-12-13 08:00:00+00:00,22.232,22.267,22.136,22.213,1827,18
2021-12-13 12:00:00+00:00,22.213,22.406,22.199,22.282,3433,15
2021-12-13 16:00:00+00:00,22.28,22.335,22.254,22.323,1864,12
2021-12-13 20:00:00+00:00,22.324,22.337,22.286,22.292,944,16
2021-12-14 00:00:00+00:00,22.294,22.328,22.186,22.222,1837,17
2021-12-14 04:00:00+00:00,22.22,22.295,22.2,22.227,1638,16
2021-12-14 08:00:00+00:00,22.22,22.271,22.128,22.157,1983,17
2021-12-14 12:00:00+00:00,22.159,22.177,21.681,21.946,4710,16
2021-12-14 16:00:00+00:00,21.946,21.97,21.862,21.955,2013,13
2021-12-14 20:00:00+00:00,21.955,21.964,21.92,21.955,974,15
2021-12-15 00:00:00+00:00,21.957,22.056,21.877,21.891,2068,17
2021-12-15 04:00:00+00:00,21.89,21.948,21.833,21.9,1943,17
2021-12-15 08:00:00+00:00,21.904,21.937,21.736,21.79,2180,12
2021-12-15 12:00:00+00:00,21.782,21.914,21.475,21.488,4009,16
2021-12-15 16:00:00+00:00,21.48,21.885,21.417,21.857,3927,15
2021-12-15 20:00:00+00:00,21.856,22.12,21.825,22.073,2322,17
2021-12-16 00:00:00+00:00,22.074,22.174,21.903,22.114,2782,19
2021-12-16 04:00:00+00:00,22.118,22.208,22.112,22.155,1776,17
2021-12-16 08:00:00+00:00,22.159,22.251,22.124,22.242,1840,13
2021-12-16 12:00:00+00:00,22.241,22.516,22.119,22.506,4654,14
2021-12-16 16:00:00+00:00,22.504,22.523,22.367,22.392,2252,16
2021-12-16 20:00:00+00:00,22.39,22.474,22.388,22.445,1146,17
2021-12-17 00:00:00+00:00,22.449,22.544,22.408,22.427,2237,19
2021-12-17 04:00:00+00:00,22.426,22.612,22.403,22.608,2105,17
2021-12-17 08:00:00+00:00,22.617,22.663,22.545,22.641,2239,18
2021-12-17 12:00:00+00:00,22.643,22.665,22.431,22.519,3743,17
2021-12-17 16:00:00+00:00,22.521,22.539,22.459,22.462,2252,16
2021-12-17 20:00:00+00:00,22.461,22.465,22.347,22.35,878,17
2021-12-20 00:00:00+00:00,22.346,22.434,22.331,22.37,2092,16
2021-12-20 04:00:00+00:00,22.369,22.399,22.298,22.31,1862,18
2021-12-20 08:00:00+00:00,22.313,22.376,22.266,22.295,2015,17
2021-12-20 12:00:00+00:00,22.292,22.315,22.182,22.227,3247,17
2021-12-20 16:00:00+00:00,22.229,22.327,22.224,22.252,1952,12
2021-12-20 20:00:00+00:00,22.252,22.28,22.225,22.244,1077,15
2021-12-21 00:00:00+00:00,22.245,22.265,22.168,22.252,1688,18
2021-12-21 04:00:00+00:00,22.252,22.442,22.235,22.43,1713,19
2021-12-21 08:00:00+00:00,22.431,22.751,22.416,22.72,2224,16
2021-12-21 12:00:00+00:00,22.716,22.776,22.416,22.428,3678,18
2021-12-21 16:00:00+00:00,22.424,22.529,22.424,22.497,2056,16
2021-12-21 20:00:00+00:00,22.496,22.539,22.454,22.489,995,15
2021-12-22 00:00:00+00:00,22.489,22.556,22.451,22.506,1991,21
2021-12-22 04:00:00+00:00,22.506,22.539,22.43,22.45,1797,19
2021-12-22 08:00:00+00:00,22.455,22.654,22.443,22.643,1993,19
2021-12-22 12:00:00+00:00,22.645,22.701999999999998,22.544,22.694,2893,17
2021-12-22 16:00:00+00:00,22.701999999999998,22.819,22.695,22.802,1995,15
2021-12-22 20:00:00+00:00,22.801,22.826999999999998,22.764,22.764,926,16
2021-12-23 00:00:00+00:00,22.768,22.85,22.734,22.82,1991,14
2021-12-23 04:00:00+00:00,22.819,22.892,22.786,22.851,1773,19
2021-12-23 08:00:00+00:00,22.856,22.878,22.803,22.86,1801,18
2021-12-23 12:00:00+00:00,22.862,22.919,22.644,22.875,3249,15
2021-12-23 16:00:00+00:00,22.873,22.927,22.859,22.879,1561,15
2021-12-23 20:00:00+00:00,22.881,22.897,22.86,22.867,632,16
2021-12-27 00:00:00+00:00,22.837,22.979,22.767,22.82,2302,21
2021-12-27 04:00:00+00:00,22.82,22.821,22.669,22.717,1606,21
2021-12-27 08:00:00+00:00,22.715,22.774,22.668,22.715,1286,14
2021-12-27 12:00:00+00:00,22.715,23.082,22.637,23.072,3178,15
